"Date","Daydemand","Demand7daysago","Demand30daysago","Demand365daysago","Meanpast7days","Meanpast30days","Meanpast365days","Tempofday","dayofweek"
"2018-08-01","3889","2216.97501892506","2216.97501892506","2216.97501892506","2216.97501892506","2216.97501892506","2216.97501892506","NA","Wednesday"
"2018-08-02","3878","2216.97501892506","2216.97501892506","2216.97501892506","2216.97501892506","2216.97501892506","2216.97501892506","NA","Thursday"
"2018-08-03","3574","2216.97501892506","2216.97501892506","2216.97501892506","2216.97501892506","2216.97501892506","2216.97501892506","NA","Friday"
"2018-08-04","2019","2216.97501892506","2216.97501892506","2216.97501892506","2216.97501892506","2216.97501892506","2216.97501892506","NA","Saturday"
"2018-08-05","2054","2216.97501892506","2216.97501892506","2216.97501892506","2216.97501892506","2216.97501892506","2216.97501892506","NA","Sunday"
"2018-08-06","3449","2216.97501892506","2216.97501892506","2216.97501892506","2216.97501892506","2216.97501892506","2216.97501892506","NA","Monday"
"2018-08-07","3730","2216.97501892506","2216.97501892506","2216.97501892506","3227.57142857143","2216.97501892506","2216.97501892506","NA","Tuesday"
"2018-08-08","3616","3889","2216.97501892506","2216.97501892506","3276.125","2216.97501892506","2216.97501892506","NA","Wednesday"
"2018-08-09","2101","3878","2216.97501892506","2216.97501892506","3052.625","2216.97501892506","2216.97501892506","NA","Thursday"
"2018-08-10","2738","3574","2216.97501892506","2216.97501892506","2910.125","2216.97501892506","2216.97501892506","NA","Friday"
"2018-08-11","1796","2019","2216.97501892506","2216.97501892506","2687.875","2216.97501892506","2216.97501892506","NA","Saturday"
"2018-08-12","1390","2054","2216.97501892506","2216.97501892506","2609.25","2216.97501892506","2216.97501892506","NA","Sunday"
"2018-08-13","3252","3449","2216.97501892506","2216.97501892506","2759","2216.97501892506","2216.97501892506","NA","Monday"
"2018-08-14","3504","3730","2216.97501892506","2216.97501892506","2765.875","2216.97501892506","2216.97501892506","NA","Tuesday"
"2018-08-15","3694","3616","2216.97501892506","2216.97501892506","2761.375","2216.97501892506","2216.97501892506","NA","Wednesday"
"2018-08-16","2591","2101","2216.97501892506","2216.97501892506","2633.25","2216.97501892506","2216.97501892506","NA","Thursday"
"2018-08-17","3278","2738","2216.97501892506","2216.97501892506","2780.375","2216.97501892506","2216.97501892506","NA","Friday"
"2018-08-18","1761","1796","2216.97501892506","2216.97501892506","2658.25","2216.97501892506","2216.97501892506","NA","Saturday"
"2018-08-19","1759","1390","2216.97501892506","2216.97501892506","2653.625","2216.97501892506","2216.97501892506","NA","Sunday"
"2018-08-20","3458","3252","2216.97501892506","2216.97501892506","2912.125","2216.97501892506","2216.97501892506","NA","Monday"
"2018-08-21","3580","3504","2216.97501892506","2216.97501892506","2953.125","2216.97501892506","2216.97501892506","NA","Tuesday"
"2018-08-22","3439","3694","2216.97501892506","2216.97501892506","2945","2216.97501892506","2216.97501892506","NA","Wednesday"
"2018-08-23","3081","2591","2216.97501892506","2216.97501892506","2868.375","2216.97501892506","2216.97501892506","NA","Thursday"
"2018-08-24","2599","3278","2216.97501892506","2216.97501892506","2869.375","2216.97501892506","2216.97501892506","NA","Friday"
"2018-08-25","1549","1761","2216.97501892506","2216.97501892506","2653.25","2216.97501892506","2216.97501892506","NA","Saturday"
"2018-08-26","521","1759","2216.97501892506","2216.97501892506","2498.25","2216.97501892506","2216.97501892506","NA","Sunday"
"2018-08-27","1400","3458","2216.97501892506","2216.97501892506","2453.375","2216.97501892506","2216.97501892506","NA","Monday"
"2018-08-28","3160","3580","2216.97501892506","2216.97501892506","2416.125","2216.97501892506","2216.97501892506","NA","Tuesday"
"2018-09-01","1800","3439","2216.97501892506","2216.97501892506","2193.625","2216.97501892506","2216.97501892506","NA","Saturday"
"2018-09-02","1787","3081","2216.97501892506","2216.97501892506","1987.125","2681.56666666667","2216.97501892506","NA","Sunday"
"2018-09-03","3372","2599","3889","2216.97501892506","2023.5","2703.83870967742","2216.97501892506","NA","Monday"
"2018-09-04","3478","1549","3878","2216.97501892506","2133.375","2690.58064516129","2216.97501892506","NA","Tuesday"
"2018-09-05","3431","521","3574","2216.97501892506","2368.625","2676.16129032258","2216.97501892506","NA","Wednesday"
"2018-09-06","3587","1400","2019","2216.97501892506","2751.875","2676.58064516129","2216.97501892506","NA","Thursday"
"2018-09-07","3331","3160","2054","2216.97501892506","2993.25","2718.90322580645","2216.97501892506","NA","Friday"
"2018-09-08","1717","1800","3449","2216.97501892506","2812.875","2708.03225806452","2216.97501892506","NA","Saturday"
"2018-09-09","1705","1787","3730","2216.97501892506","2801","2651.77419354839","2216.97501892506","NA","Sunday"
"2018-09-10","3634","3372","3616","2216.97501892506","3031.875","2648.67741935484","2216.97501892506","NA","Monday"
"2018-09-11","3546","3478","2101","2216.97501892506","3053.625","2646.41935483871","2216.97501892506","NA","Tuesday"
"2018-09-12","3312","3431","2738","2216.97501892506","3032.875","2685.48387096774","2216.97501892506","NA","Wednesday"
"2018-09-13","3653","3587","1796","2216.97501892506","3060.625","2715","2216.97501892506","NA","Thursday"
"2018-09-14","3362","3331","1390","2216.97501892506","3032.5","2765.51612903226","2216.97501892506","NA","Friday"
"2018-09-15","1907","1717","3252","2216.97501892506","2854.5","2782.1935483871","2216.97501892506","NA","Saturday"
"2018-09-16","1841","1705","3504","2216.97501892506","2870","2736.67741935484","2216.97501892506","NA","Sunday"
"2018-09-17","3753","3634","3694","2216.97501892506","3126","2744.70967741935","2216.97501892506","NA","Monday"
"2018-09-18","3714","3546","2591","2216.97501892506","3136","2745.35483870968","2216.97501892506","NA","Tuesday"
"2018-09-19","3695","3312","3278","2216.97501892506","3154.625","2780.96774193548","2216.97501892506","NA","Wednesday"
"2018-09-20","3322","3653","1761","2216.97501892506","3155.875","2782.38709677419","2216.97501892506","NA","Thursday"
"2018-09-21","3176","3362","1759","2216.97501892506","3096.25","2828.03225806452","2216.97501892506","NA","Friday"
"2018-09-22","842","1907","3458","2216.97501892506","2781.25","2798.45161290323","2216.97501892506","NA","Saturday"
"2018-09-23","873","1841","3580","2216.97501892506","2652","2715.06451612903","2216.97501892506","NA","Sunday"
"2018-09-24","3427","3753","3439","2216.97501892506","2850.25","2710.12903225806","2216.97501892506","NA","Monday"
"2018-09-25","3966","3714","3081","2216.97501892506","2876.875","2727.12903225806","2216.97501892506","NA","Tuesday"
"2018-09-26","4002","3695","2599","2216.97501892506","2912.875","2756.83870967742","2216.97501892506","NA","Wednesday"
"2018-09-27","3928","3322","1549","2216.97501892506","2942","2799.70967741935","2216.97501892506","NA","Thursday"
"2018-09-28","3607","3176","521","2216.97501892506","2977.625","2866.09677419355","2216.97501892506","NA","Friday"
"2018-10-01","3685","842","1400","2216.97501892506","3041.25","2968.16129032258","2216.97501892506","NA","Monday"
"2018-10-02","3968","873","3160","2216.97501892506","3432","3051","2216.97501892506","NA","Tuesday"
"2018-10-03","4165","3427","1800","2216.97501892506","3843.5","3083.41935483871","2216.97501892506","NA","Wednesday"
"2018-10-04","3896","3966","1787","2216.97501892506","3902.125","3151.03225806452","2216.97501892506","NA","Thursday"
"2018-10-05","3973","4002","3372","2216.97501892506","3903","3221.54838709677","2216.97501892506","NA","Friday"
"2018-10-06","751","3928","3478","2216.97501892506","3496.625","3137","2216.97501892506","NA","Saturday"
"2018-10-07","1431","3607","3431","2216.97501892506","3184.5","3070.96774193548","2216.97501892506","NA","Sunday"
"2018-10-08","3657","3685","3587","2216.97501892506","3190.75","3078.25806451613","2216.97501892506","NA","Monday"
"2018-10-09","3998","3968","3331","2216.97501892506","3229.875","3091.51612903226","2216.97501892506","NA","Tuesday"
"2018-10-10","3976","4165","1717","2216.97501892506","3230.875","3112.32258064516","2216.97501892506","NA","Wednesday"
"2018-10-11","3866","3896","1705","2216.97501892506","3193.5","3181.64516129032","2216.97501892506","NA","Thursday"
"2018-10-12","3521","3973","3634","2216.97501892506","3146.625","3240.22580645161","2216.97501892506","NA","Friday"
"2018-10-13","2059","751","3546","2216.97501892506","2907.375","3189.41935483871","2216.97501892506","NA","Saturday"
"2018-10-14","757","1431","3312","2216.97501892506","2908.125","3099.45161290323","2216.97501892506","NA","Sunday"
"2018-10-15","3080","3657","3653","2216.97501892506","3114.25","3091.96774193548","2216.97501892506","NA","Monday"
"2018-10-16","3929","3998","3362","2216.97501892506","3148.25","3100.87096774194","2216.97501892506","NA","Tuesday"
"2018-10-17","3204","3976","1907","2216.97501892506","3049","3095.77419354839","2216.97501892506","NA","Wednesday"
"2018-10-18","3671","3866","1841","2216.97501892506","3010.875","3152.67741935484","2216.97501892506","NA","Thursday"
"2018-10-19","3468","3521","3753","2216.97501892506","2961.125","3205.16129032258","2216.97501892506","NA","Friday"
"2018-10-20","1818","2059","3714","2216.97501892506","2748.25","3142.74193548387","2216.97501892506","NA","Saturday"
"2018-10-21","1682","757","3695","2216.97501892506","2701.125","3077.1935483871","2216.97501892506","NA","Sunday"
"2018-10-22","3490","3080","3322","2216.97501892506","3042.75","3070.58064516129","2216.97501892506","NA","Monday"
"2018-10-23","3726","3929","3176","2216.97501892506","3123.5","3083.61290322581","2216.97501892506","NA","Tuesday"
"2018-10-24","3771","3204","842","2216.97501892506","3103.75","3102.8064516129","2216.97501892506","NA","Wednesday"
"2018-10-25","3607","3671","873","2216.97501892506","3154.125","3192","2216.97501892506","NA","Thursday"
"2018-10-26","2850","3468","3427","2216.97501892506","3051.5","3255.77419354839","2216.97501892506","NA","Friday"
"2018-10-27","1280","1818","3966","2216.97501892506","2778","3186.51612903226","2216.97501892506","NA","Saturday"
"2018-10-28","946","1682","4002","2216.97501892506","2669","3089.09677419355","2216.97501892506","NA","Sunday"
"2018-11-01","2612","3490","3928","2216.97501892506","2785.25","3044.25806451613","2216.97501892506","NA","Thursday"
"2018-11-02","3150","3726","3607","2216.97501892506","2742.75","3019.16129032258","2216.97501892506","NA","Friday"
"2018-11-03","1676","3771","3685","2216.97501892506","2486.5","2956.87096774194","2216.97501892506","NA","Saturday"
"2018-11-04","1386","3607","3968","2216.97501892506","2188.375","2882.70967741935","2216.97501892506","NA","Sunday"
"2018-11-05","3351","2850","4165","2216.97501892506","2156.375","2862.8064516129","2216.97501892506","NA","Monday"
"2018-11-06","3570","1280","3896","2216.97501892506","2246.375","2843.61290322581","2216.97501892506","NA","Tuesday"
"2018-11-07","3014","946","3973","2216.97501892506","2463.125","2815.16129032258","2216.97501892506","NA","Wednesday"
"2018-11-08","3463","2612","751","2216.97501892506","2777.75","2798.70967741935","2216.97501892506","NA","Thursday"
"2018-11-09","2703","3150","1431","2216.97501892506","2789.125","2861.67741935484","2216.97501892506","NA","Friday"
"2018-11-10","899","1676","3657","2216.97501892506","2507.75","2844.51612903226","2216.97501892506","NA","Saturday"
"2018-11-11","1203","1386","3998","2216.97501892506","2448.625","2765.35483870968","2216.97501892506","NA","Sunday"
"2018-11-12","3068","3351","3976","2216.97501892506","2658.875","2735.35483870968","2216.97501892506","NA","Monday"
"2018-11-13","3525","3570","3866","2216.97501892506","2680.625","2720.8064516129","2216.97501892506","NA","Tuesday"
"2018-11-14","3676","3014","3521","2216.97501892506","2693.875","2714.67741935484","2216.97501892506","NA","Wednesday"
"2018-11-15","3711","3463","2059","2216.97501892506","2781","2720.8064516129","2216.97501892506","NA","Thursday"
"2018-11-16","3115","2703","757","2216.97501892506","2737.5","2754.87096774194","2216.97501892506","NA","Friday"
"2018-11-17","1499","899","3080","2216.97501892506","2587","2778.8064516129","2216.97501892506","NA","Saturday"
"2018-11-18","608","1203","3929","2216.97501892506","2550.625","2699.06451612903","2216.97501892506","NA","Sunday"
"2018-11-19","2314","3068","3204","2216.97501892506","2689.5","2646.96774193548","2216.97501892506","NA","Monday"
"2018-11-20","2032","3525","3671","2216.97501892506","2560","2609.16129032258","2216.97501892506","NA","Tuesday"
"2018-11-21","2906","3676","3468","2216.97501892506","2482.625","2584.48387096774","2216.97501892506","NA","Wednesday"
"2018-11-22","3005","3711","1818","2216.97501892506","2398.75","2569.54838709677","2216.97501892506","NA","Thursday"
"2018-11-23","2921","3115","1682","2216.97501892506","2300","2605.12903225806","2216.97501892506","NA","Friday"
"2018-11-24","1161","1499","3490","2216.97501892506","2055.75","2588.32258064516","2216.97501892506","NA","Saturday"
"2018-11-25","1099","608","3726","2216.97501892506","2005.75","2511.1935483871","2216.97501892506","NA","Sunday"
"2018-11-26","3248","2314","3771","2216.97501892506","2335.75","2495.77419354839","2216.97501892506","NA","Monday"
"2018-11-27","2615","2032","3607","2216.97501892506","2373.375","2458.48387096774","2216.97501892506","NA","Tuesday"
"2018-11-28","2733","2906","2850","2216.97501892506","2461","2430.29032258065","2216.97501892506","NA","Wednesday"
"2018-12-01","1049","3005","1280","2216.97501892506","2228.875","2372.1935483871","2216.97501892506","NA","Saturday"
"2018-12-02","1118","2921","946","2216.97501892506","1993","2366.96774193548","2216.97501892506","NA","Sunday"
"2018-12-03","2943","1161","2612","2216.97501892506","1995.75","2431.38709677419","2216.97501892506","NA","Monday"
"2018-12-04","3300","1099","3150","2216.97501892506","2263.125","2453.58064516129","2216.97501892506","NA","Tuesday"
"2018-12-05","2728","3248","1676","2216.97501892506","2466.75","2439.96774193548","2216.97501892506","NA","Wednesday"
"2018-12-06","1967","2615","1386","2216.97501892506","2306.625","2449.35483870968","2216.97501892506","NA","Thursday"
"2018-12-07","2093","2733","3351","2216.97501892506","2241.375","2472.16129032258","2216.97501892506","NA","Friday"
"2018-12-08","1239","1049","3570","2216.97501892506","2054.625","2404.03225806452","2216.97501892506","NA","Saturday"
"2018-12-09","1076","1118","3014","2216.97501892506","2058","2323.58064516129","2216.97501892506","NA","Sunday"
"2018-12-10","3185","2943","3463","2216.97501892506","2316.375","2329.09677419355","2216.97501892506","NA","Monday"
"2018-12-11","3327","3300","2703","2216.97501892506","2364.375","2324.70967741935","2216.97501892506","NA","Tuesday"
"2018-12-12","3104","2728","899","2216.97501892506","2339.875","2337.64516129032","2216.97501892506","NA","Wednesday"
"2018-12-13","2964","1967","1203","2216.97501892506","2369.375","2404.25806451613","2216.97501892506","NA","Thursday"
"2018-12-14","2486","2093","3068","2216.97501892506","2434.25","2445.64516129032","2216.97501892506","NA","Friday"
"2018-12-15","630","1239","3525","2216.97501892506","2251.375","2367","2216.97501892506","NA","Saturday"
"2018-12-16","754","1076","3676","2216.97501892506","2190.75","2277.61290322581","2216.97501892506","NA","Sunday"
"2018-12-17","2766","3185","3711","2216.97501892506","2402","2248.25806451613","2216.97501892506","NA","Monday"
