"Date","Daydemand","Demand7daysago","Demand30daysago","Demand365daysago","Meanpast7days","Meanpast30days","Meanpast365days","Tempofday","dayofweek"
"2018-08-01","2949","1759.51324753974","1759.51324753974","1759.51324753974","1759.51324753974","1759.51324753974","1759.51324753974","NA","Wednesday"
"2018-08-02","2768","1759.51324753974","1759.51324753974","1759.51324753974","1759.51324753974","1759.51324753974","1759.51324753974","NA","Thursday"
"2018-08-03","2501","1759.51324753974","1759.51324753974","1759.51324753974","1759.51324753974","1759.51324753974","1759.51324753974","NA","Friday"
"2018-08-04","2357","1759.51324753974","1759.51324753974","1759.51324753974","1759.51324753974","1759.51324753974","1759.51324753974","NA","Saturday"
"2018-08-05","2305","1759.51324753974","1759.51324753974","1759.51324753974","1759.51324753974","1759.51324753974","1759.51324753974","NA","Sunday"
"2018-08-06","2849","1759.51324753974","1759.51324753974","1759.51324753974","1759.51324753974","1759.51324753974","1759.51324753974","NA","Monday"
"2018-08-07","2755","1759.51324753974","1759.51324753974","1759.51324753974","2640.57142857143","1759.51324753974","1759.51324753974","NA","Tuesday"
"2018-08-08","2843","2949","1759.51324753974","1759.51324753974","2665.875","1759.51324753974","1759.51324753974","NA","Wednesday"
"2018-08-09","1244","2768","1759.51324753974","1759.51324753974","2452.75","1759.51324753974","1759.51324753974","NA","Thursday"
"2018-08-10","2048","2501","1759.51324753974","1759.51324753974","2362.75","1759.51324753974","1759.51324753974","NA","Friday"
"2018-08-11","2089","2357","1759.51324753974","1759.51324753974","2311.25","1759.51324753974","1759.51324753974","NA","Saturday"
"2018-08-12","1444","2305","1759.51324753974","1759.51324753974","2197.125","1759.51324753974","1759.51324753974","NA","Sunday"
"2018-08-13","2495","2849","1759.51324753974","1759.51324753974","2220.875","1759.51324753974","1759.51324753974","NA","Monday"
"2018-08-14","2825","2755","1759.51324753974","1759.51324753974","2217.875","1759.51324753974","1759.51324753974","NA","Tuesday"
"2018-08-15","2811","2843","1759.51324753974","1759.51324753974","2224.875","1759.51324753974","1759.51324753974","NA","Wednesday"
"2018-08-16","1758","1244","1759.51324753974","1759.51324753974","2089.25","1759.51324753974","1759.51324753974","NA","Thursday"
"2018-08-17","2468","2048","1759.51324753974","1759.51324753974","2242.25","1759.51324753974","1759.51324753974","NA","Friday"
"2018-08-18","2068","2089","1759.51324753974","1759.51324753974","2244.75","1759.51324753974","1759.51324753974","NA","Saturday"
"2018-08-19","2007","1444","1759.51324753974","1759.51324753974","2234.5","1759.51324753974","1759.51324753974","NA","Sunday"
