"","Date","EC1","EC2","EC3","EC4","WC1","WC2","Weekday"
"1",2018-08-01,4047,3672,1383,2232,3889,2949,"Wednesday"
"2",2018-08-02,4014,3772,1379,2310,3878,2768,"Thursday"
"3",2018-08-03,3597,3470,1156,2008,3574,2501,"Friday"
"4",2018-08-04,2065,1257,823,1107,2019,2357,"Saturday"
"5",2018-08-05,1882,1390,905,1116,2054,2305,"Sunday"
"6",2018-08-06,3741,3494,1394,2122,3449,2849,"Monday"
"7",2018-08-07,3930,3499,1329,2053,3730,2755,"Tuesday"
"8",2018-08-08,3942,3507,1421,2240,3616,2843,"Wednesday"
"9",2018-08-09,2220,1998,691,1183,2101,1244,"Thursday"
"10",2018-08-10,2978,2726,980,1719,2738,2048,"Friday"
"11",2018-08-11,1814,1325,759,1153,1796,2089,"Saturday"
"12",2018-08-12,1344,982,455,619,1390,1444,"Sunday"
"13",2018-08-13,3421,3147,1271,2017,3252,2495,"Monday"
"14",2018-08-14,3829,3436,1380,2159,3504,2825,"Tuesday"
"15",2018-08-15,3864,3572,1448,2015,3694,2811,"Wednesday"
"16",2018-08-16,2928,2833,996,1585,2591,1758,"Thursday"
"17",2018-08-17,3438,3196,1313,1883,3278,2468,"Friday"
"18",2018-08-18,1781,1346,672,960,1761,2068,"Saturday"
"19",2018-08-19,1429,1261,767,813,1759,2007,"Sunday"
"20",2018-08-20,3463,3353,1276,1997,3458,2566,"Monday"
"21",2018-08-21,3712,3592,1300,2174,3580,2505,"Tuesday"
"22",2018-08-22,3689,3564,1300,1990,3439,2527,"Wednesday"
"23",2018-08-23,3394,3302,1208,1830,3081,2253,"Thursday"
"24",2018-08-24,2680,2562,988,1576,2599,1763,"Friday"
"25",2018-08-25,1456,1099,574,824,1549,1631,"Saturday"
"26",2018-08-26,523,354,170,230,521,383,"Sunday"
"27",2018-08-27,1294,971,492,776,1400,1481,"Monday"
"28",2018-08-28,3402,3163,1212,1909,3160,2269,"Tuesday"
"29",2018-09-01,1946,1389,649,940,1800,2033,"Saturday"
"30",2018-09-02,1857,1395,617,875,1787,1749,"Sunday"
"31",2018-09-03,3309,3400,1257,1909,3372,2256,"Monday"
"32",2018-09-04,3649,3799,1275,2102,3478,2415,"Tuesday"
"33",2018-09-05,3770,3572,1265,2156,3431,2334,"Wednesday"
"34",2018-09-06,3631,3645,1249,2178,3587,2250,"Thursday"
"35",2018-09-07,3444,3341,1157,2209,3331,2283,"Friday"
"36",2018-09-08,1677,1230,567,796,1717,1676,"Saturday"
"37",2018-09-09,1586,1169,746,907,1705,2011,"Sunday"
"38",2018-09-10,3578,3778,1324,2117,3634,2445,"Monday"
"39",2018-09-11,3958,3847,1319,2221,3546,2522,"Tuesday"
"40",2018-09-12,3578,3348,1254,1955,3312,2289,"Wednesday"
"41",2018-09-13,3971,3801,1305,2264,3653,2498,"Thursday"
"42",2018-09-14,3514,3353,1154,2030,3362,2327,"Friday"
"43",2018-09-15,2067,1539,756,1028,1907,2196,"Saturday"
"44",2018-09-16,1807,1274,722,912,1841,1986,"Sunday"
"45",2018-09-17,3847,3716,1303,2174,3753,2620,"Monday"
"46",2018-09-18,4024,3966,1379,2235,3714,2536,"Tuesday"
"47",2018-09-19,3775,3571,1325,2157,3695,2676,"Wednesday"
"48",2018-09-20,3897,3643,1316,2165,3322,2327,"Thursday"
"49",2018-09-21,3602,3266,1158,1962,3176,2206,"Friday"
"50",2018-09-22,908,594,319,343,842,566,"Saturday"
"51",2018-09-23,951,557,266,294,873,740,"Sunday"
"52",2018-09-24,3565,3605,1199,2114,3427,2525,"Monday"
"53",2018-09-25,3993,3770,1313,2173,3966,2622,"Tuesday"
"54",2018-09-26,4054,4033,1273,2237,4002,2825,"Wednesday"
"55",2018-09-27,4244,3720,1358,2122,3928,2913,"Thursday"
"56",2018-09-28,3798,3408,1203,2028,3607,2681,"Friday"
"57",2018-10-01,3675,3590,1211,2172,3685,2369,"Monday"
"58",2018-10-02,4054,3947,1400,2206,3968,2583,"Tuesday"
"59",2018-10-03,4226,3613,1289,2286,4165,2729,"Wednesday"
"60",2018-10-04,3933,3743,1105,2346,3896,2661,"Thursday"
"61",2018-10-05,4163,4004,1148,2068,3973,2898,"Friday"
"62",2018-10-06,748,486,150,233,751,478,"Saturday"
"63",2018-10-07,1435,922,448,670,1431,1493,"Sunday"
"64",2018-10-08,3595,3619,1113,2021,3657,2587,"Monday"
"65",2018-10-09,4104,3913,1231,2236,3998,2747,"Tuesday"
