"Date","Daydemand","Demand7daysago","Demand30daysago","Demand365daysago","Meanpast7days","Meanpast30days","Meanpast365days","Tempofday","dayofweek"
"2018-08-01","4047","2233.39212717638","2233.39212717638","2233.39212717638","2233.39212717638","2233.39212717638","2233.39212717638","NA","Wednesday"
"2018-08-02","4014","2233.39212717638","2233.39212717638","2233.39212717638","2233.39212717638","2233.39212717638","2233.39212717638","NA","Thursday"
"2018-08-03","3597","2233.39212717638","2233.39212717638","2233.39212717638","2233.39212717638","2233.39212717638","2233.39212717638","NA","Friday"
"2018-08-04","2065","2233.39212717638","2233.39212717638","2233.39212717638","2233.39212717638","2233.39212717638","2233.39212717638","NA","Saturday"
"2018-08-05","1882","2233.39212717638","2233.39212717638","2233.39212717638","2233.39212717638","2233.39212717638","2233.39212717638","NA","Sunday"
"2018-08-06","3741","2233.39212717638","2233.39212717638","2233.39212717638","2233.39212717638","2233.39212717638","2233.39212717638","NA","Monday"
"2018-08-07","3930","2233.39212717638","2233.39212717638","2233.39212717638","3325.14285714286","2233.39212717638","2233.39212717638","NA","Tuesday"
"2018-08-08","3942","4047","2233.39212717638","2233.39212717638","3402.25","2233.39212717638","2233.39212717638","NA","Wednesday"
"2018-08-09","2220","4014","2233.39212717638","2233.39212717638","3173.875","2233.39212717638","2233.39212717638","NA","Thursday"
"2018-08-10","2978","3597","2233.39212717638","2233.39212717638","3044.375","2233.39212717638","2233.39212717638","NA","Friday"
"2018-08-11","1814","2065","2233.39212717638","2233.39212717638","2821.5","2233.39212717638","2233.39212717638","NA","Saturday"
"2018-08-12","1344","1882","2233.39212717638","2233.39212717638","2731.375","2233.39212717638","2233.39212717638","NA","Sunday"
"2018-08-13","3421","3741","2233.39212717638","2233.39212717638","2923.75","2233.39212717638","2233.39212717638","NA","Monday"
"2018-08-14","3829","3930","2233.39212717638","2233.39212717638","2934.75","2233.39212717638","2233.39212717638","NA","Tuesday"
"2018-08-15","3864","3942","2233.39212717638","2233.39212717638","2926.5","2233.39212717638","2233.39212717638","NA","Wednesday"
"2018-08-16","2928","2220","2233.39212717638","2233.39212717638","2799.75","2233.39212717638","2233.39212717638","NA","Thursday"
"2018-08-17","3438","2978","2233.39212717638","2233.39212717638","2952","2233.39212717638","2233.39212717638","NA","Friday"
"2018-08-18","1781","1814","2233.39212717638","2233.39212717638","2802.375","2233.39212717638","2233.39212717638","NA","Saturday"
"2018-08-19","1429","1344","2233.39212717638","2233.39212717638","2754.25","2233.39212717638","2233.39212717638","NA","Sunday"
"2018-08-20","3463","3421","2233.39212717638","2233.39212717638","3019.125","2233.39212717638","2233.39212717638","NA","Monday"
"2018-08-21","3712","3829","2233.39212717638","2233.39212717638","3055.5","2233.39212717638","2233.39212717638","NA","Tuesday"
"2018-08-22","3689","3864","2233.39212717638","2233.39212717638","3038","2233.39212717638","2233.39212717638","NA","Wednesday"
"2018-08-23","3394","2928","2233.39212717638","2233.39212717638","2979.25","2233.39212717638","2233.39212717638","NA","Thursday"
"2018-08-24","2680","3438","2233.39212717638","2233.39212717638","2948.25","2233.39212717638","2233.39212717638","NA","Friday"
"2018-08-25","1456","1781","2233.39212717638","2233.39212717638","2700.5","2233.39212717638","2233.39212717638","NA","Saturday"
"2018-08-26","523","1429","2233.39212717638","2233.39212717638","2543.25","2233.39212717638","2233.39212717638","NA","Sunday"
"2018-08-27","1294","3463","2233.39212717638","2233.39212717638","2526.375","2233.39212717638","2233.39212717638","NA","Monday"
"2018-08-28","3402","3712","2233.39212717638","2233.39212717638","2518.75","2233.39212717638","2233.39212717638","NA","Tuesday"
"2018-09-01","1946","3689","2233.39212717638","2233.39212717638","2298","2233.39212717638","2233.39212717638","NA","Saturday"
"2018-09-02","1857","3394","2233.39212717638","2233.39212717638","2069","2789.33333333333","2233.39212717638","NA","Sunday"
"2018-09-03","3309","2680","4047","2233.39212717638","2058.375","2806.09677419355","2233.39212717638","NA","Monday"
"2018-09-04","3649","1456","4014","2233.39212717638","2179.5","2793.25806451613","2233.39212717638","NA","Tuesday"
"2018-09-05","3770","523","3597","2233.39212717638","2468.75","2785.38709677419","2233.39212717638","NA","Wednesday"
"2018-09-06","3631","1294","2065","2233.39212717638","2857.25","2786.48387096774","2233.39212717638","NA","Thursday"
"2018-09-07","3444","3402","1882","2233.39212717638","3126","2830.96774193548","2233.39212717638","NA","Friday"
"2018-09-08","1677","1946","3741","2233.39212717638","2910.375","2824.35483870968","2233.39212717638","NA","Saturday"
"2018-09-09","1586","1857","3930","2233.39212717638","2865.375","2754.83870967742","2233.39212717638","NA","Sunday"
"2018-09-10","3578","3309","3942","2233.39212717638","3080.5","2743.48387096774","2233.39212717638","NA","Monday"
"2018-09-11","3958","3649","2220","2233.39212717638","3161.625","2744","2233.39212717638","NA","Tuesday"
"2018-09-12","3578","3770","2978","2233.39212717638","3152.75","2787.8064516129","2233.39212717638","NA","Wednesday"
"2018-09-13","3971","3631","1814","2233.39212717638","3177.875","2819.83870967742","2233.39212717638","NA","Thursday"
"2018-09-14","3514","3444","1344","2233.39212717638","3163.25","2874.67741935484","2233.39212717638","NA","Friday"
"2018-09-15","2067","1677","3421","2233.39212717638","2991.125","2898","2233.39212717638","NA","Saturday"
"2018-09-16","1807","1586","3829","2233.39212717638","3007.375","2845.93548387097","2233.39212717638","NA","Sunday"
"2018-09-17","3847","3578","3864","2233.39212717638","3290","2846.51612903226","2233.39212717638","NA","Monday"
"2018-09-18","4024","3958","2928","2233.39212717638","3345.75","2851.67741935484","2233.39212717638","NA","Tuesday"
"2018-09-19","3775","3578","3438","2233.39212717638","3322.875","2879","2233.39212717638","NA","Wednesday"
"2018-09-20","3897","3971","1781","2233.39212717638","3362.75","2893.8064516129","2233.39212717638","NA","Thursday"
"2018-09-21","3602","3514","1429","2233.39212717638","3316.625","2952.54838709677","2233.39212717638","NA","Friday"
"2018-09-22","908","2067","3463","2233.39212717638","2990.875","2935.74193548387","2233.39212717638","NA","Saturday"
"2018-09-23","951","1807","3712","2233.39212717638","2851.375","2854.70967741935","2233.39212717638","NA","Sunday"
"2018-09-24","3565","3847","3689","2233.39212717638","3071.125","2849.96774193548","2233.39212717638","NA","Monday"
"2018-09-25","3993","4024","3394","2233.39212717638","3089.375","2859.77419354839","2233.39212717638","NA","Tuesday"
"2018-09-26","4054","3775","2680","2233.39212717638","3093.125","2881.06451612903","2233.39212717638","NA","Wednesday"
"2018-09-27","4244","3897","1456","2233.39212717638","3151.75","2931.51612903226","2233.39212717638","NA","Thursday"
"2018-09-28","3798","3602","523","2233.39212717638","3139.375","3007.06451612903","2233.39212717638","NA","Friday"
"2018-10-01","3675","908","1294","2233.39212717638","3148.5","3108.74193548387","2233.39212717638","NA","Monday"
"2018-10-02","4054","951","3402","2233.39212717638","3541.75","3197.77419354839","2233.39212717638","NA","Tuesday"
