"Date","Daydemand","Demand1dayago","Demand7daysago","Demand30daysago","Demand365daysago","Meanpast7days","Meanpast30days","Meanpast365days","Tempofday","Wind","Raincover","dayofweek"
"2020-06-01","1976","2629","3238","1072","858","2575.25","2564.8064516129","2013.24590163934","18.8","19","0","Monday"
"2020-06-02","1275","1976","3384","2239","965","2329.875","2571.35483870968","2014.38524590164","19.1","13.1","0","Tuesday"
"2020-06-03","1339","1275","3405","4125","1102","2074.25","2542.32258064516","2015.40710382514","16.6","21.2","4.17","Wednesday"
"2020-06-04","1746","1339","2711","2861","790","1866.875","2465.58064516129","2017.16666666667","13.2","19.5","8.33","Thursday"
"2020-06-05","2794","1746","2034","6291","931","1877.25","2463.41935483871","2022.64207650273","12.9","29","16.67","Friday"
"2020-06-06","2442","2794","1225","2742","1061","1928.25","2339.25806451613","2026.77049180328","10.6","33.7","12.5","Saturday"
"2020-06-07","2928","2442","2629","1136","987","2141.125","2345.25806451613","2031.87158469945","12.7","16","12.5","Sunday"
"2020-06-08","2235","2928","1976","1170","913","2091.875","2380.70967741935","2035.28142076503","13","17.6","0","Monday"
"2020-06-09","1536","2235","1275","2566","1058","2036.875","2392.51612903226","2036.98360655738","14.5","13.9","0","Tuesday"
"2020-06-10","1261","1536","1339","3119","1349","2035.125","2350.41935483871","2037.53825136612","13.4","16.5","8.33","Wednesday"
"2020-06-11","2568","1261","1746","3178","764","2188.75","2332.64516129032","2040.86885245902","14.8","25.4","8.33","Thursday"
"2020-06-12","2981","2568","2794","3603","973","2343.125","2326.29032258065","2046.9262295082","16.7","24.9","8.33","Friday"
"2020-06-13","3128","2981","2442","2110","1001","2384.875","2310.96774193548","2052.81420765027","18.5","24.1","4.17","Saturday"
"2020-06-14","2977","3128","2928","1625","793","2451.75","2338.93548387097","2058.2131147541","18.3","17.6","8.33","Sunday"
"2020-06-15","1914","2977","2235","1048","670","2325","2348.25806451613","2061.27595628415","18.1","13.4","4.17","Monday"
"2020-06-16","1846","1914","1536","2610","989","2276.375","2374","2064.48907103825","18.5","14.2","12.5","Tuesday"
"2020-06-17","1547","1846","1261","3264","1071","2277.75","2339.70967741935","2066.01366120219","17.1","16.4","8.33","Wednesday"
"2020-06-18","1397","1547","2568","2362","1125","2294.75","2279.48387096774","2066.9043715847","16.1","18","12.5","Thursday"
"2020-06-19","2814","1397","2981","3340","1080","2325.5","2294.06451612903","2071.51912568306","16.1","26.6","12.5","Friday"
"2020-06-20","3320","2814","3128","2762","1296","2367.875","2293.41935483871","2077.6393442623","17.1","21.2","8.33","Saturday"
"2020-06-21","3523","3320","2977","1663","1284","2417.25","2317.96774193548","2083.72404371585","18.1","26","8.33","Sunday"
"2020-06-22","2636","3523","1914","1354","952","2374.625","2349.35483870968","2087.41803278689","17.4","19.2","0","Monday"
"2020-06-23","1608","2636","1846","2667","1275","2336.375","2357.54838709677","2089.21038251366","20.9","13.9","0","Tuesday"
"2020-06-24","1456","1608","1547","3238","1355","2287.625","2318.48387096774","2089.70491803279","23.6","22","0","Wednesday"
"2020-06-25","2727","1456","1397","3384","1487","2435.125","2302","2093.45355191257","24.6","21.6","0","Thursday"
"2020-06-26","3414","2727","2814","3405","1219","2687.25","2302.96774193548","2098.71857923497","23.3","24.6","4.17","Friday"
"2020-06-27","3384","3414","3320","2711","1030","2758.5","2302.29032258065","2104.63387978142","17.6","33.1","12.5","Saturday"
"2020-06-28","3681","3384","3523","2034","1379","2803.625","2333.58064516129","2111.87704918033","16.1","32.1","12.5","Sunday"
"2020-07-01","1417","3681","2636","1225","719","2540.375","2313.67741935484","2111.98087431694","17.5","26","12.5","Wednesday"
"2020-07-02","1587","1417","1608","2629","1537","2409.25","2325.35483870968","2114.35245901639","16","21.2","12.5","Thursday"
"2020-07-03","3210","1587","1456","1976","1233","2609.5","2344.09677419355","2118.92349726776","16.2","31.6","4.17","Friday"
"2020-07-04","3051","3210","2727","1275","924","2808.875","2378.77419354839","2123.89071038251","17.7","28.5","8.33","Saturday"
"2020-07-05","3702","3051","3414","1339","1216","2930.75","2457.06451612903","2131.48087431694","18.4","38","8.33","Sunday"
"2020-07-06","2995","3702","3384","1746","753","2878.375","2510.48387096774","2136.34153005464","16","28.5","0","Monday"
"2020-07-07","1712","2995","3681","2794","1105","2669.375","2509.38709677419","2138.96174863388","15.9","23.1","4.17","Tuesday"
"2020-07-08","1670","1712","1417","2442","1258","2418","2473.12903225806","2140.50546448087","16.7","16","12.5","Wednesday"
"2020-07-09","3051","1670","1587","2928","1471","2622.25","2492.77419354839","2145.4043715847","17.6","21.5","16.67","Thursday"
"2020-07-10","3465","3051","3210","2235","1494","2857","2510.09677419355","2150.85245901639","15.8","19.7","8.33","Friday"
"2020-07-11","3040","3465","3051","1536","805","2835.75","2536.06451612903","2155.07650273224","15.8","17.6","0","Saturday"
"2020-07-12","3692","3040","3702","1261","973","2915.875","2605.61290322581","2162.96448087432","17.8","15.6","0","Sunday"
"2020-07-13","3059","3692","2995","2568","1485","2835.5","2663.61290322581","2168.66393442623","19.3","23.9","0","Monday"
"2020-07-14","2107","3059","1712","2981","1724","2724.5","2648.74193548387","2170.36338797814","18.2","15.7","12.5","Tuesday"
"2020-07-15","929","2107","1670","3128","1850","2626.625","2582.54838709677","2168.1912568306","16.6","16","0","Wednesday"
"2020-07-16","2868","929","3051","2977","1644","2776.375","2574.16129032258","2170.97267759563","18.9","17.4","0","Thursday"
"2020-07-17","3717","2868","3465","1914","1770","2859.625","2598.03225806452","2176.63661202186","22.1","20.3","0","Friday"
"2020-07-18","3825","3717","3040","1846","1506","2904.625","2659.67741935484","2182.25136612022","20","20.9","0","Saturday"
"2020-07-19","3720","3825","3692","1547","1292","2989.625","2720.12903225806","2188.30054644809","17.6","13.6","8.33","Sunday"
"2020-07-20","2406","3720","3059","1397","1788","2828.875","2747.83870967742","2191.34426229508","17.5","14.3","0","Monday"
"2020-07-21","1916","2406","2107","2814","1982","2686","2764.58064516129","2191.69398907104","17.5","12.8","0","Tuesday"
"2020-07-22","1641","1916","929","3320","2074","2627.75","2726.74193548387","2190.76229508197","19.9","19.2","0","Wednesday"
"2020-07-23","2870","1641","2868","3523","2056","2870.375","2712.22580645161","2192.93715846995","19.5","23.3","0","Thursday"
"2020-07-24","2810","2870","3717","2636","2067","2863.125","2689.22580645161","2194.99726775956","20.2","20","0","Friday"
"2020-07-25","3399","2810","3825","1608","1553","2823.375","2713.83870967742","2198.63661202186","18.2","27.8","8.33","Saturday"
"2020-07-26","3578","3399","3720","1456","1171","2792.5","2777.38709677419","2204.1693989071","17.1","22.7","12.5","Sunday"
"2020-07-27","3054","3578","2406","2727","1763","2709.25","2828.93548387097","2209.31420765027","18","30.8","12.5","Monday"
"2020-07-28","1838","3054","1916","3414","2076","2638.25","2800.25806451613","2209.51912568306","17","24","4.17","Tuesday"
"2020-08-01","2862","1838","1641","3384","1624","2756.5","2782.45161290323","2211.66666666667","21.4","22.4","0","Saturday"
"2020-08-02","1679","2862","2870","3681","1552","2761.25","2727.45161290323","2211.81693989071","18.8","21.6","0","Sunday"
"2020-08-03","1594","1679","2810","1417","1184","2601.75","2660.12903225806","2211.93169398907","18.9","16.4","0","Monday"
"2020-08-04","1210","1594","3399","1587","965","2401.75","2653.45161290323","2212.00273224044","18","23.2","0","Tuesday"
"2020-08-05","833","1210","3578","3210","1595","2081","2629.12903225806","2211.64207650273","20.4","29.3","0","Wednesday"
"2020-08-06","3442","833","3054","3051","1790","2064","2636.61290322581","2216.68852459016","22.5","17.9","4.17","Thursday"
"2020-08-07","3564","3442","1838","3702","1967","2127.75","2653.16129032258","2221.53551912568","25","16.3","0","Friday"
"2020-08-08","3542","3564","2862","2995","2005","2340.75","2648","2225.83879781421","25.4","16.8","0","Saturday"
"2020-08-09","3693","3542","1679","1712","995","2444.625","2670.51612903226","2230.45081967213","24","17.2","0","Sunday"
"2020-08-10","2934","3693","1594","1670","1260","2601.5","2709.93548387097","2235.74863387978","26.4","16.9","0","Monday"
"2020-08-11","2068","2934","1210","3051","1741","2660.75","2722.77419354839","2237.95628415301","27.4","12.2","0","Tuesday"
"2020-08-12","1580","2068","833","3465","2168","2707","2675.32258064516","2237.51639344262","26.9","19.8","8.33","Wednesday"
"2020-08-13","3284","1580","3442","3040","2184","3013.375","2669.48387096774","2240.56557377049","23.3","17.7","8.33","Thursday"
"2020-08-14","3716","3284","3564","3692","1882","3047.625","2691.29032258065","2244.75136612022","18.9","12.9","16.67","Friday"
"2020-08-15","3798","3716","3542","3059","1958","3076.875","2694.70967741935","2249.98633879781","18.8","12.5","16.67","Saturday"
"2020-08-16","4000","3798","3693","2107","1108","3134.125","2725.06451612903","2255.56557377049","20.6","12.9","8.33","Sunday"
"2020-08-17","3197","4000","2934","929","696","3072.125","2760.22580645161","2261.27322404372","18.7","15.8","16.67","Monday"
"2020-08-18","1532","3197","2068","2868","1627","2896.875","2779.67741935484","2263.55737704918","19.8","22.4","12.5","Tuesday"
"2020-08-19","1146","1532","1580","3717","2117","2781.625","2724.12903225806","2262.24316939891","18.4","19.4","8.33","Wednesday"
"2020-08-20","3257","1146","3284","3825","2031","2991.25","2709.29032258065","2265.35792349727","20.9","25.9","4.17","Thursday"
"2020-08-21","4047","3257","3716","3720","2129","3086.625","2716.45161290323","2270.86612021858","20.5","42.5","4.17","Friday"
"2020-08-22","3744","4047","3798","2406","1568","3090.125","2717.22580645161","2275.27868852459","19","34","12.5","Saturday"
"2020-08-23","2906","3744","4000","1916","1256","2978.625","2733.35483870968","2278.93442622951","18","26.2","8.33","Sunday"
"2020-08-24","2779","2906","3197","1641","1057","2826","2761.1935483871","2283.0956284153","17.1","16.7","4.17","Monday"
"2020-08-25","1955","2779","1532","2870","1670","2670.75","2771.32258064516","2285.54918032787","17.9","38.8","12.5","Tuesday"
"2020-08-26","1631","1955","1146","2810","2256","2683.125","2731.35483870968","2285.44262295082","18.2","43.6","4.17","Wednesday"
"2020-08-27","3060","1631","3257","3399","2441","2922.375","2739.41935483871","2287.6393442623","15.4","19.4","4.17","Thursday"
"2020-08-28","3644","3060","4047","3578","2675","2970.75","2747.32258064516","2290.9262295082","15.2","23.6","16.67","Friday"
"2020-09-01","2980","3644","3744","3054","2196","2837.375","2728.03225806452","2291.75956284153","14.2","9.9","0","Tuesday"
